Message,Label
Please note: Earn money from home with our amazing opportunity. Let me know. Offer2325,spam
Hi! Can you send me the notes from today's class? Let me know. Ref0116,ham
Can you share the Wi-Fi password? Thank you. Ref3445,ham
Please note: Let me know when you are available. Ref2863,ham
Don't forget to bring your ID card. Thanks. Ref8707,ham
Free gift waiting for you. Claim your reward today. Please reply. Offer5005,spam
Quick message: Happy birthday! Have a wonderful day. Reply when you can. Ref6138,ham
Reminder: Win a brand new phone today. Click to claim your prize. Thank you. Offer6020,spam
FREE entry to win a luxury car. Reply WIN now. Thanks. Offer4410,spam
Hi! I am going to the market now. Ref5250,ham
Today: Please bring your laptop tomorrow. Reply when you can. Ref1411,ham
Quick message: Claim your exclusive reward before it expires. Offer4505,spam
Exclusive offer available only today. Claim now. Offer7255,spam
"Today: Congratulations, your number has won a cash bonus. Thanks. Offer9084",spam
Important: Please submit the form before Friday. Let me know. Ref7934,ham
Quick message: Limited offer! Buy now and get a huge discount. Please reply. Offer9887,spam
Just letting you know: I reached safely. Ref9277,ham
Important: Get rich quickly with this incredible money-making offer. Offer8951,spam
Reminder: Act now to receive your free gift. Thanks. Offer9908,spam
Today: You have been chosen for a free vacation. Thank you. Offer3657,spam
Hi! You have been chosen for a free vacation. Offer6016,spam
Hi! The meeting starts at 10 am. Thanks. Ref5292,ham
Quick message: The class has been moved to room 204. Please reply. Ref9643,ham
Hi! You have won a shopping voucher. Click here now. Have a good day. Offer6134,spam
Hi! Can you pick up some groceries on your way? Thank you. Ref2830,ham
Please note: You are selected for a free prize. Confirm your details. Let me know. Offer1700,spam
Please note: Let me know when you are available. Thank you. Ref8079,ham
Quick message: You have been chosen for a free vacation. Offer4208,spam
"Just letting you know: Congratulations, your number has won a cash bonus. Have a good day. Offer8354",spam
Exclusive winner notification. Claim your cash prize. Let me know. Offer4815,spam
Quick message: Please submit the form before Friday. Ref2694,ham
Let's have lunch together today. Thanks. Ref8756,ham
Just letting you know: Are you free this evening? Thanks. Ref1639,ham
Today: I will be there in ten minutes. Please reply. Ref1659,ham
